influencer_id,video_id,title,published,url,thumbnail
academia-play,O1MO0SpvU9o,La Marcha Verde de Marruecos 🇲🇦,2026-07-31,https://www.youtube.com/watch?v=O1MO0SpvU9o,https://i.ytimg.com/vi/O1MO0SpvU9o/hqdefault.jpg
academia-play,485By-bNcLc,Las revoluciones no siempre desembocan en lo que uno desea,2026-08-04,https://www.youtube.com/watch?v=485By-bNcLc,https://i.ytimg.com/vi/485By-bNcLc/hqdefault.jpg
academia-play,oRgawk-Ue-A,He visitado Legoland y he vuelto a caminar entre mis propios recuerdos de infancia.,2026-08-16,https://www.youtube.com/watch?v=oRgawk-Ue-A,https://i.ytimg.com/vi/oRgawk-Ue-A/hqdefault.jpg
academia-play,STgxRvYidyE,🇩🇰 Visito en Copenhague el parque de atracciones más especial del mundo,2026-08-22,https://www.youtube.com/watch?v=STgxRvYidyE,https://i.ytimg.com/vi/STgxRvYidyE/hqdefault.jpg
academia-play,I-UsO-25lWs,¿Siempre hemos «farmeado aura»? (Un análisis histórico),2026-08-25,https://www.youtube.com/watch?v=I-UsO-25lWs,https://i.ytimg.com/vi/I-UsO-25lWs/hqdefault.jpg
academia-play,EiW-9bP8z0I,Mito: ¿Los cristianos leían la Biblia de forma literal?,2026-08-27,https://www.youtube.com/watch?v=EiW-9bP8z0I,https://i.ytimg.com/vi/EiW-9bP8z0I/hqdefault.jpg
academia-play,uB7SuZuxprE,Negligencia en Villena,2026-08-28,https://www.youtube.com/watch?v=uB7SuZuxprE,https://i.ytimg.com/vi/uB7SuZuxprE/hqdefault.jpg
academia-play,Y1fymCuh6gI,Cuando el mundo quiso ser español,2026-09-07,https://www.youtube.com/watch?v=Y1fymCuh6gI,https://i.ytimg.com/vi/Y1fymCuh6gI/hqdefault.jpg
american-experience,FVK075uvKG8,She cracked NASA's boys' club,2026-08-18,https://www.youtube.com/watch?v=FVK075uvKG8,https://i.ytimg.com/vi/FVK075uvKG8/hqdefault.jpg
american-experience,KzoTLZCGv4g,Would you catch a rat with your bare hands?!,2026-08-20,https://www.youtube.com/watch?v=KzoTLZCGv4g,https://i.ytimg.com/vi/KzoTLZCGv4g/hqdefault.jpg
american-experience,9AYbnSOf-NM,Is this the Galapagos of America?,2026-08-25,https://www.youtube.com/watch?v=9AYbnSOf-NM,https://i.ytimg.com/vi/9AYbnSOf-NM/hqdefault.jpg
american-experience,ayyn-mqoGps,A tribute to presidential pups 🐾,2026-08-26,https://www.youtube.com/watch?v=ayyn-mqoGps,https://i.ytimg.com/vi/ayyn-mqoGps/hqdefault.jpg
american-experience,BPhEVfe3cNQ,The heroism of 9/11 first responders,2026-08-28,https://www.youtube.com/watch?v=BPhEVfe3cNQ,https://i.ytimg.com/vi/BPhEVfe3cNQ/hqdefault.jpg
american-experience,JiDYwnIjQos,When Boston was as ugly as the Jim Crow South,2026-08-31,https://www.youtube.com/watch?v=JiDYwnIjQos,https://i.ytimg.com/vi/JiDYwnIjQos/hqdefault.jpg
american-experience,IaVU6jpfrLw,These scenes shocked the world,2026-09-04,https://www.youtube.com/watch?v=IaVU6jpfrLw,https://i.ytimg.com/vi/IaVU6jpfrLw/hqdefault.jpg
american-experience,I7-hmyWcJGU,The deadliest workplace accident in NYC history,2026-09-07,https://www.youtube.com/watch?v=I7-hmyWcJGU,https://i.ytimg.com/vi/I7-hmyWcJGU/hqdefault.jpg
ancient-americas,5UqxOlwSMqM,Indigenous Fire and Why Burning is Good,2025-07-24,https://www.youtube.com/watch?v=5UqxOlwSMqM,https://i.ytimg.com/vi/5UqxOlwSMqM/hqdefault.jpg
ancient-americas,SnCctMd_jNk,Travel with us to Mexico City in 2026!,2025-12-09,https://www.youtube.com/watch?v=SnCctMd_jNk,https://i.ytimg.com/vi/SnCctMd_jNk/hqdefault.jpg
archeostoria,l2vgMYKIgsg,"L'incastellamento tra storia, archeologia e rievocazione storica. In live con @medioevodascoprire",2025-10-30,https://www.youtube.com/watch?v=l2vgMYKIgsg,https://i.ytimg.com/vi/l2vgMYKIgsg/hqdefault.jpg
archeostoria,e_zn0Jp0Y4U,I longobardi tra archeologia e rievocazione. Ne parliamo con @LaFara568,2025-11-13,https://www.youtube.com/watch?v=e_zn0Jp0Y4U,https://i.ytimg.com/vi/e_zn0Jp0Y4U/hqdefault.jpg
archeostoria,PogVEtwMW8A,L'attacco a Pearl Harbor.#shorts #reels #accaddeoggi #ww2 #battle #pearlharbor #usa #japan,2025-12-07,https://www.youtube.com/watch?v=PogVEtwMW8A,https://i.ytimg.com/vi/PogVEtwMW8A/hqdefault.jpg
archeostoria,MoApkJCd6_w,"Archeologia cristiana, l'archeologia che non ti aspetti: dalle origini a Costantino. Parte prima",2026-02-12,https://www.youtube.com/watch?v=MoApkJCd6_w,https://i.ytimg.com/vi/MoApkJCd6_w/hqdefault.jpg
archeostoria,sCGljveqGGU,La nascita del New Model Army. #shorts #inghilterra #army #war #accaddeoggi #guerracivile #perte,2026-02-15,https://www.youtube.com/watch?v=sCGljveqGGU,https://i.ytimg.com/vi/sCGljveqGGU/hqdefault.jpg
archeostoria,Crdm89DHmnE,Archeologia cristiana l'archeologia che non ti aspetti: da Costantino al monachesimo. Parte seconda,2026-02-26,https://www.youtube.com/watch?v=Crdm89DHmnE,https://i.ytimg.com/vi/Crdm89DHmnE/hqdefault.jpg
archeostoria,spIbHctftQo,Quando il governo comunista polacco ha favorito la carriera di Karol Wojtyla. #storia #stalin #papa,2026-03-23,https://www.youtube.com/watch?v=spIbHctftQo,https://i.ytimg.com/vi/spIbHctftQo/hqdefault.jpg
